문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
절절함이 없으신가보네 확실히 유약해 체력달려서 당도 이끌질 못하는데 총선이나 대선땐 답도 없겠네	0	0	0	0	0	0	0	0	1	0	0
나도 존나 순진한(한남식 개념녀)로 아는 놈있노 ㅋㅋㅋㅋㅋㅋ	0	1	0	0	0	0	0	0	0	0	0
바벨로 내장 으깨고싶다	0	0	0	0	0	0	0	0	1	0	0
솔직히 틀린말 아니지고졸무직통구이새끼들 나중에 늙어서 병원신세질때쯤 되면베트남 2세 의사슨상님 말 잘듣어야 될 상황도 온다좆빠지게 돈벌어라	0	0	0	1	0	0	0	1	0	0	0
메일이 없는데 어케 메일을줘 씨바라	0	0	0	0	0	0	0	0	1	0	0
세상에 어떻게 이런 일이???? 머구? 끄더끄덕	0	0	0	0	0	1	0	0	0	0	0
지금 휘발유 사러 간다	0	0	0	0	0	0	0	0	1	0	0
똥꼬충이 왜 욕먹어야 되는건지 이해가 안되네 ㅋㅋ;	0	0	1	0	0	0	0	0	0	0	0
이미 서로 의심중	0	0	0	0	0	0	0	0	0	1	0
돈없네 ㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
감사합니다.	0	0	0	0	0	0	0	0	0	1	0
이상성욕자	0	0	0	0	0	0	0	0	1	0	0
자전거 관리해야겠노 시바거 자전거 훔쳐가면 1+1으로 새자전거가 온당껰ㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
씨발 짱개, 좆선족 병균새끼들 카악~~~~~ 퉷~	0	0	0	1	0	0	0	0	0	0	0
동남아,파키스탄 이런류 보단 나을지도 모르지	0	0	0	1	0	0	0	0	0	0	0
검머외 보스	0	0	0	1	0	0	0	0	0	0	0
오토바이충들 특기가.짭새뜨면 토끼는건데........가만히 잡혔노	0	0	0	0	0	0	0	1	0	0	0
소금물? ㅋㅋㅋ 소가웃는다 목사부인이 미개해도 무지해도 이렇게까지 바보일까? 스스로 병걸렸으니ㅈ분무기에 감사감사 기도해야겠네 하느님께 다가갈수있는좋은기회이니 아멘~~~~~~~~~~~~할렐루야	0	0	0	0	0	0	1	0	0	0	0
우크라이나애 왜이래 화장을 안해서 그런가ㅠㅠ	0	0	0	0	0	0	0	0	0	1	0
둘이 결혼할듯	0	0	0	0	0	0	0	0	0	1	0
코로나로 몰고 가지마라. 코로나 아니라도 이미 민심은 떠났다.	0	0	0	0	0	0	0	0	1	0	0
그런 전라도년 ㅂㅈ가 맛있음	0	0	0	0	0	1	0	0	0	0	0
그냥 전라도개씨발새끼들은 저주받은새끼들임풍시지리자체가 반골새끼들 니오는곳이라 학살햇어도 저기사 사람다시태어나면 똑같은 쓰레기들 태어나는거라 효과없음	0	0	0	0	0	1	0	0	0	0	0
기자가 없다. 본질은 남군르로 입대해서 여자가 됐으니 당연히 전역이지. 주민번호 2로 군대가고 싶으면 다시 셤봐.	0	0	1	0	0	0	0	0	0	0	0
진 그만해라	0	0	0	0	0	0	0	0	1	0	1
으아 성병저장소	0	0	0	0	0	0	0	0	1	0	0
산이가 부릅니다.  기레기레기.	0	0	0	0	0	0	0	1	0	0	1
생긴건 라티노인데 무슨 아시아?	0	0	0	1	0	0	0	0	0	0	0
정액에서 바이러스 나온다며 ㅡ 레즈는 성소수자범주에 들지만 ㅡ남성동성애자는 대다수가 양성애자고 ㅡ연애를 생략한 사정놀이기때문에 감싸줄 필요없음	0	0	1	0	0	0	0	0	0	0	0
ㅋㅋㅋㅋㅋㅋㅋ헐... 대한민국에서 기독교를 이기는 단체가 있단 말인가?그냥 다 떠나서 졸라 신기 ㅋㅋㅋ내가 볼땐 이건 한발 후퇴다기독교가 가만히 안있을듯 ㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
노회찬이 특검이 드루킹을 통해서 만들어 낸 거짓 증거 때문에 죽었다는 걸 생각하면 저러지 못할 건데 그게 저 사람들 입장에서는 그저 남의 일인 겁니다. 누구든 검찰 수사에 의한 희생양이 될 수 있는데 그런 생각을 못하는 거 같음.	0	0	0	0	0	0	0	0	0	1	0
쿠폰 물품 제한해놓는거는 흔한 일이고 무신사보다 우신사가 덜 인기 있으니 할인쿠폰으로 활발하게 하려고 한 거 같은데,,, 계정정지는 잘못했네 그래도 뭐 불매까지는 모르겠는뎁	0	0	0	0	0	0	0	0	0	1	0
토착왜구 자일당 클래스에 여성개무시 추가.	0	0	0	1	0	0	0	0	0	0	0
나라가 졷나 풍요로워져도 징징이들은 뭘 해도 안된다.위기 뒤에는 항상 기회가 오게 되어있음.기회가 올 때 준비가 되어있어야지 징징거리기만 하면 숟가락으로 떠서 입에 넣어주는 기회도 못잡음.	0	0	0	0	0	0	0	0	1	0	0
ㄹㅇ 맨날 댓글에 안낳는다~~ 이지랄하는거 좆팔극험이노	0	0	0	0	0	0	0	0	1	0	0
글쓴놈아 가가가가가가가가가가 이거는 뭔지 맞춰봐라	0	0	0	0	0	0	0	0	1	0	0
진중권이 나이가 60대에 근접하니 요새 20대 남자들이 부딪히는 페미문제에 대해 무지할수 밖에. 중권이 틀ㄸ티가 난다.	0	0	0	0	1	0	0	0	0	0	1
기왕 이렇게 된거 난민 좀 받아서 제주도에 짱박아두고 대마초 합법화가즈아아아~~~~~	0	0	0	1	0	0	0	0	0	0	0
다 필요 없고 신안염전으로 보내. 10년동안 목숨 붙어있는 새끼들만 난민인정해 준다.	0	0	0	1	0	1	0	0	0	0	0
각종 인권조례 통과를 무슨 지방자치단체 존재이유로 삼고 제정 통과를 전국에서 시도하고 있는데.. 거기에 항문성교 동성애, 소아 성애,동물수간, 각종 변태성욕자들 이 성소수자 또는 약자로 포장되어 보호받도록 독소조항이 있습니다. 법안 통과 막아주세요	0	0	1	0	0	0	0	0	0	0	0
항문성교가 에이즈 확산의 주요 경로란다. 동성애 허용하다 나라 망한다.	0	0	1	0	0	0	0	0	0	0	0
짱퀴벌레와 파퀴벌레는 하루속히 인종청소해야 함.	0	0	0	1	0	0	0	0	0	0	0
후팔 쇼린이는 오직 여자만 쓰는 물건인 것을. 태생이 천박한 잡것들답노 똥꼬에 철근 69개 쳐박고싶노 후팔	0	1	0	0	1	0	0	0	0	0	0
방독면 벗으면 방독면 모양 그대로 생겼을듯	0	0	0	0	0	0	0	0	0	1	0
나도 고위직 한남충만 보면 살충욕구가 드노 그놈이 내가 갖고 싶은 권력을 가지고 있기 때문이노	0	1	0	0	0	0	0	0	0	0	0
권리만 있지 과연 책임까지 지려할까요~ 관혼상제는 예법보다 지방이나 집안 역사에 맞추어 살도록 놔주세요...집안 대소사도 국가가 관리해야됩니까?	0	0	0	0	0	0	0	0	1	0	0
이 새끼들 이럴때만 주님찾네 ㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	1	0	0	0	0
장땡 나이샷	0	0	0	0	0	0	0	0	0	1	0
만화에 나오는 싸이코박사 같다	0	0	0	0	0	0	0	0	1	0	0
탈북자인지 간첩인지 어떻게 확인하냐 이제 외화벌이팀이 남한으로 밀려내려올거 같은데 ㅆㅂ	0	0	0	1	0	0	0	0	0	0	0
천재노. 워딩 뜻 바로 파악돼고 노무좋노. ㅋ	0	0	0	0	0	0	0	0	0	1	0
플랫자지 후장에 넣을거나 잇노?	0	1	0	0	0	0	0	0	0	0	0
멍청도 시민 아님? ㅋㅋㅋ	0	0	0	0	0	1	0	0	0	0	0
제발 일본처럼만 해라.일본애들이 역사적으로 보면 현명하다.	0	0	0	0	0	0	0	0	0	1	0
니애비애미도 분탕홍 좆족개새키	0	0	0	1	0	1	0	0	0	0	0
한남충들이 성희롱 존나하던데 그건 왜 기사로 안내냐? ㅋㅋ	0	1	0	0	0	0	0	0	0	0	0
팩트체크 : 이 글쓴 새끼도 지 눈앞에 쌩보지 있으면 만사제치고 빨아재낌ㅅㄱ	0	1	0	0	0	0	0	0	0	0	0
옷 진짜 병신같이만들었네	0	0	0	0	0	0	0	0	1	0	0
이글에서 팩트는 지난해 1월 서울시에 없던 국장급자리 하나 만들고 그자리에 자기네 사람앉혔다는 거.	0	0	0	0	0	0	0	0	1	0	0
필리핀 과일 과세좀 줄여서 싸게 들여왔으면 좋겠다	0	0	0	0	0	0	0	0	0	1	0
터키병신들 저러니 유럽의 환자소리듣고 그리스 좆밥들한테 후장따이지 ㅋㅋ	0	0	0	1	0	0	0	0	0	0	0
난 진즉 없어진줄 알았는데 끈질기기도하노	0	0	0	0	0	0	0	0	1	0	0
개나 소나. 다 목사야…	0	0	0	0	0	0	1	0	0	0	0
우리도 대구켱북 분리법 시행하자	0	0	0	0	0	1	0	0	0	0	0
음? 왜 차들이 서로 역주행하고 자빠졌노..	0	0	0	0	0	0	0	0	0	1	0
종교도 다 정치여 ㅋㅋㅋ 상류층 새끼들이 목사가 돈 꽁치고 거짓부렁이 지껄이는 거 몰라서 교회 열심히 가냐 ㅋㅋ 다 인맥 쌓으러 가는 거지 ㅋㅋ	0	0	0	0	0	0	1	1	0	0	0
비유찰지노 ㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
다녀 왔노 그리고 국정원이 때문에 보력글 조건 바뀌었노 보고와라이기	0	0	0	0	0	0	0	0	0	1	0
피시방 분위기가 맘에 안 들지 않냐	0	0	0	0	0	0	0	0	1	0	0
야 존나 귀엽게생긴 남자애보면 꼴리는데 정상이냐	0	1	0	0	0	0	0	0	0	0	0
저런 보빨좌좀 새끼들이 오히려 여자를 약자로 가두고 더 밝히는 변태새끼들임	1	0	0	0	0	0	0	0	0	0	0
지잡새끼들도 잘놀더만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	1	0	0	0
박보검이 교회에서 연기연습 했나보넹	0	0	0	0	0	0	0	0	0	1	0
생긴게 원숭이 고릴라 계통이네..우웩 계욕질 나오네 토나올것같아	0	0	0	0	0	0	0	0	1	0	0
그생선이 광주했네	0	0	0	0	0	1	0	0	0	0	0
낚시 오랜만이노ㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
일리있다 이거 .	0	0	0	0	0	0	0	0	0	1	0
와 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
맞으면 니가 어쩔건데 ㅋㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
신혼부부만 불쌍하누.. 부디 틀딱들한테 형사합의금 오지게 뜯고 피해본거도 민사로 두둑히 뜯어내길!	0	0	0	0	1	0	0	0	0	0	0
무슬림 새끼들은 레알 중국 이상의 인류 암이다 답이 없는 새끼들임 그냥 총칼로 찜질하는게 유일한 처방이다	0	0	0	1	0	0	0	0	0	0	0
구해줘라는 드라마를왜할까?이유가있지	0	0	0	0	0	0	0	0	0	1	0
전라도는 급식이건 틀딱이건 내용도 없고, 재미도 없어. 질만 떨어지구... 원래 그래..	0	0	0	0	0	1	0	0	0	0	0
징하다 2년동안 저리살았는데 아직도 눈치없게 그런걸 물어보노	0	0	0	0	0	0	0	0	1	0	0
자라나는 청소년들에게 성 정체성 혼란을 가중 시키는 일 들 이네요 .... 집안에서 자녀교육 잘 시키십시다.	0	0	1	0	0	0	0	0	0	0	0
개슬람 새끼들은 애새끼도 저따위냐 ㄷㄷ 진짜 하나의 문화이자 놀이인가보네 ㅋㅋㅋㅋ	0	0	0	0	0	0	1	0	0	0	0
2010년이면 나 중딩일때다 ㅅㅂ	0	0	0	0	0	0	0	0	1	0	0
전립선에 유충들었노	0	1	0	0	0	0	0	0	0	0	0
합의금 3천 물어준적있어서 그이후로 다시는 안싸운다	0	0	0	0	0	0	0	0	0	1	0
좆대가리 막굴리는 병신새끼들은 감방에서 현실감각좀 길러야지	0	0	0	0	0	0	0	0	1	0	0
나도 여자지만 살아오면서 당연시 여겨오던 불합리한것들을 깨닫게되면서 같은 여자로서의 차별만이 아닌 남자들이 겪는 불합리한것들도 보이게 되더라. 쉽게 공익 포스터나 영상 같은거에서 많이 느껴지더라. 남자라서 여자라서가 아니라 그냥 나쁜 인간은 나쁜 인간인것인데 말이다.	0	0	0	0	0	0	0	0	0	1	0
그중에서도 짱꺠라니 하....중국인은 참 미개하다	0	0	0	1	0	0	0	0	0	0	0
당신들을 이해하고 존중해줄순 있는데 확산시키지는 마..그게 일반적인 규범상의 올바른 성문화는 아니잖아...	0	0	1	0	0	0	0	0	0	0	0
꼴리는 내가 더싫다.... 아지매 이쁘노	1	0	0	0	0	0	0	0	0	0	0
아씨발 뭔저따 밥을말아먹어 할배가.. 역겹게	0	0	0	0	1	0	0	0	0	0	0
끝자가 X산?끄덕끄덕	0	0	0	0	0	0	0	0	0	1	0
성희롱이나 쳐하는 좆거러지들이 스밍은 니비 ㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
한국문화는 외국에서 대접받고 한국에서는 개잡종문화가 대접받는다	0	0	0	1	0	0	0	0	0	0	0
그게 페미니즘인게 아니라 이게 페미니즘인거노 여성인권 개무시하는 결과 고르는게 무슨 페미니즘이노? 그리고 페미니즘은 자지학살도 당연히 포함해야하는거다이기야 양성평등무새 좆까라고해라 열등한 자지들한테 평등은 과분하노	0	1	0	0	0	0	0	0	0	0	0
좆들끼리 붙어먹다가 냄저새끼들 다 에이즈걸러 뒤졌음 좋겠노	0	1	1	0	0	0	0	0	0	0	0
일단 군대부터 같이 가자 그럼 생각이 달라지겠지	0	0	0	0	0	0	0	0	0	1	0
아니 싫은건 싫어한다고 말할줄도 알아야지, 인정 ㅇㅇ. 나는 페미들과 민주건달들이 싫음.	1	0	0	0	0	0	0	1	0	0	0
안그래도 그거 잘못 배운 집단들이 난리치는거 같던 차인데 걔들부터 좀 다시 배우고 나서 이야기 하자고하고 싶은. 별 이상한것들 땜에 문통이 페미니스트 단어 쓴거 갖고 물고늘어지며 비토해야한단 주장마저 나오니 참.. 어이없어서	0	0	0	0	0	0	0	0	0	1	0
야 시발 얼마나 보상해달라고 해먹을라고 여기서버티는지 니들이아냐 ㅋㅋㅋ취재나와봤어?	0	0	0	0	0	0	0	0	1	0	0
어떤놈 잠은오냐??????	0	0	0	0	0	0	0	0	1	0	0
지들이 걸리면 피해자 다른 사람들이 걸리면 그들은 가해자 논리 우습네	0	0	0	0	0	0	0	0	1	0	0
아이들한테 머라한건 문제가 안되는데..먼 개지랄이냐..	0	0	0	0	0	0	0	0	1	0	0
여자 난민만 들여보내라내 자식들이라도 똥송에서 벗어나게 하고싶다	0	0	0	1	0	0	0	0	0	0	0
동성애는 정신병자이고 병을 고쳐 주어야한다  신은 음과양을 만들었고 둘이 조화를 이루며 살아간다 양과양 음과음은 곧 파멸이다	0	0	1	0	0	0	0	1	0	0	0
친붕친중 진짜 노답	0	0	0	1	0	0	0	0	0	0	0
★★ 개독들이 좆같은 새끼들인 이유 : 쓰임 받는다 따위의 문법파괴를 수도 없이 함 개새끼들임 복음을 위해 사는 것이 복이라는 식으로 개소리를 늘어놓음	0	0	0	0	0	0	1	0	0	0	0
우리나라 늘그니분들은 문제가많어, 전철타도 눈에 거슬리는 행동만 하고다녀, 길거리에 가래춤 획획 거리고, 존경이라는 건 가뭄에 콩나듯, 제발 젊은분들 출근,퇴근시간에 나돌아 다니지마세요. 10시 이후에 놀러 돌아다니세요.. 추한행동 자제하세요..	0	0	0	0	1	0	0	0	0	0	0
저게 위급 상황 발발 시 포유류의 계급이 바로 드러나는 대목이지. 문명화되니깐 페미랍시고 존나게 깝치는데, 그래봤자 성노리개로 전락당하고 거절도 못하고 주변에서 안도와줬다고 낑낑거리고만 있음. 걸스캔두 애니띵?ㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
66결혼 열두 살에 한 대장님도 있는데 아동성범죄 시브럴거? 남편은 열두 살 연상이었다던데99 전통 유구하노	0	0	0	0	0	0	0	0	1	0	0
직업 어줍짢은 년 만나지마라	1	0	0	0	0	0	0	0	0	0	0
그건 여자애? 잘못이네ㅅㅂ어디서 수술을 받은거여? 받을꺼면 해외가서 받던갘ㅋㅋ	0	0	0	0	0	0	0	0	1	0	0
멍청도 새끼나 홍어새끼나 다 병신이지	0	0	0	0	0	1	0	0	0	0	0
악마의 유혹에 넘어가셨노	0	0	0	0	0	0	0	0	1	0	0
명불허전 쌍도종자 ㅁㅊㅋㅋ	0	0	0	0	0	1	0	0	0	0	0
와 저 피시방 어디노	0	0	0	0	0	0	0	0	0	1	0
신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키신지다이스키	0	0	0	0	0	0	0	0	0	1	0
아이디 옆에 실명뿐 아니라 국적까지 달아야 할 판이네...	0	0	0	0	0	0	0	0	0	1	0
어휴 시발 답이 없네 아니 5명을 위해서 나머지 500명이 희생해야하는것도 웃긴데 거기에 개슬람 ㅋㅋㅋㅋ	0	0	0	0	0	0	1	0	0	0	0
이런여자 집에들어오면 그순간부터 집안불협화음시작된다..	1	0	0	0	0	0	0	0	0	0	0
앞뒤상황은 없노	0	0	0	0	0	0	0	0	0	1	0
말갈의 후손이 짱깨들 극혐 하는 건 사필귀정 ㅇㅇ	0	0	0	1	0	0	0	0	0	0	0
무슬림들+조선족들 포함한 중국인들..........	0	0	0	1	0	0	0	0	0	0	0
한남한테 몸팔고 싶어도 한남이 싫어해서 못파는 똥꼬충ㅋㅋㅋㅋ 후장을 아무리 벌려도 봐주는 이 없는 한남똥꼬충!	0	1	1	0	0	0	0	0	0	0	0
이래서 한남들이 들고 일어날까봐 정치방역을 그렇게나 하는구나.	0	1	0	0	0	0	0	0	0	0	0
지랄하지마 등신아	0	0	0	0	0	0	0	0	1	0	0
틀딱 홍어썅년으로 추정됨.아니 지 가족이 익사했으면 그렇게 쉽게 실족사라고 인정할까?아...가족이 없는 틀딱 홍어썅년들인가?	1	0	0	0	1	1	0	0	0	0	0
응 현실은 저런 애들 코스피 3000 돌파하고 부동산 폭등하고 손꾸락만 쪽쪽 팔다 한참 뒤에 꼭대기에 진입해서 설거지 당한다ㅋ	0	0	0	0	0	0	0	0	1	0	0
오유하는 급식충일듯	0	0	0	0	1	0	0	0	0	0	0
잔나비가 갑자기 생각남	0	0	0	0	0	0	0	0	0	1	0
뭐 대구잖아 그러려니해라	0	0	0	0	0	1	0	0	0	0	0
맘충련들 극혐	1	0	0	0	0	0	0	0	0	0	0
한국엔 이미 저런집단이 존재 하는데???강간이 전통풍습인 ....전라도 신안족들...왜쳐!!홍슬람 전라 후크바르...	0	0	0	0	0	1	0	0	0	0	0
어느정도 사실인게 순전히 후장에 박고 싶어서 게이즈들이랑 하는 한남들도 많음. 오 물론 보지는 절대 안그런다 이기 ㅋㅋ	0	1	1	0	0	0	0	0	0	0	0
왜이렇게 덧글에 멍청한 새끼들이 많냐짱개들인가? 저걸 까네	0	0	0	1	0	0	0	0	0	0	0
경기도 기본소득 모델이라도 시켜달라고 하시지.옛인연도 있는데~~~	0	0	0	0	0	0	0	0	0	1	0
동성애자는 땅크로 밀어야된다.	0	0	1	0	0	0	0	0	0	0	0
니들은 남자화장실에서 옷벗고 다리 벌려도 안벌려	0	0	0	0	0	0	0	0	1	0	0
역시 오우거의 장비는 도끼가 제맛이지	0	0	0	0	0	0	0	0	0	1	0
키 최소 182 + 자지 18 여기서부터 진짜 남자의 최하 마지노선임	0	1	0	0	0	0	0	0	0	0	0
쓰레기중에 쓰레기	0	0	0	0	0	0	0	0	1	0	0
좆같은 개슬람새끼들 지들이 못처먹으면 골라내고 먹거나 안처먹으면되지.ㅅㅂ 진짜 면책특권만있으면 개슬람종자들 잡아다 참수시켜버렸으면 좋겠네	0	0	0	0	0	0	1	0	0	0	0
페미니즘이 포함된 pc운동은 정상적인 사람도 이상한 사람으로 만들어 버린다	1	0	0	0	0	0	0	0	0	0	0
저런게 경찰이지 멋있노	0	0	0	0	0	0	0	0	0	1	0
제발 쟤네들 아새끼들 전부 지잡대갔음 좋겠다이기	0	0	0	0	0	0	0	1	0	0	0
기독교인들은 거짓말 해도 된다. 교회가면 죄를 사해준다자나. 그래서 그런지 막가파 행동들 참 많이 하더라	0	0	0	0	0	0	1	0	0	0	0
진짜 똥고충새끼들 한남 안먹는 워마드 응원해야지 아니가?	0	1	1	0	0	0	0	0	0	0	0
대학 수준도 한 몫한듯. 전라도에 있는 대학이라면 다 하위권 대학일텐데 ㅋ거기 다니는 애들이라면 밑천 다 드러난거 아닌가?ㅋ	0	0	0	0	0	1	0	0	0	0	0
수술 한 번으로 여자가 되는 게 아니야 생리하는 부담 아이 낳는 고통~ 동성애 반대 문재인 아웃 주체사상 공산주의 아웃	0	0	1	0	0	0	0	1	0	0	1
현대그룹자체는 그렇게 큰 회사가 아니지않냐	0	0	0	0	0	0	0	0	0	1	0
애기가 울 수도 있고 뛸 수도 있지 근데 그걸 방치하고 애가 그럴수도 있지라는 개소리하는 부모 문제	0	0	0	0	0	0	0	0	1	0	0
시발 ㅋㅋㅋㅋㅋ 이정도면 고도의 까 아님?	0	0	0	0	0	0	0	0	1	0	0
한남좆이 작아서 이런 문제가 생긴거노 그러니 아묻따 재기해라이기야	0	1	0	0	0	0	0	0	0	0	0
어차피 범죄자인데 갈때 가더라도 김치년하나 죽이고가는건 괜찮지않음?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
구글트렌드에 일베 검색하면 대구,경상북도,경상남도가 순위권이드라 ㄹㅇ 개쌍도저장소 ㄷㄷ	0	0	0	0	0	1	0	0	0	0	0
조센틀딲체 1타 강사 인정 합니다.	0	0	0	0	1	0	0	0	0	0	0
한남충들이 기안내나는 3시부터 젤 앞에 줄서서 싹쓸이해감 한남충들 땜에 갓치들 사지도 못함 ㅜㅜ	0	1	0	0	0	0	0	0	0	0	0
뭔가 견적 이미지도 어그로 끌러온거같...	0	0	0	0	0	0	0	0	0	1	0
아예 아 죄 ,, 죄송합니다.다	0	0	0	0	0	0	0	0	0	1	0
니가왜난리임? 조용히신고를하든지	0	0	0	0	0	0	0	0	1	0	0
총알 다 쓰고 왔다 이기야 뒤집는다 이기	0	0	0	0	0	0	0	0	0	1	0
개독은 씨발 믹서기로 갈아도 시원찮을 판에 잘했네 씨발놈들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	1	0	0	0	0
유투브도 이쯤되면 문닫을때 된거 같다.	0	0	0	0	0	0	0	0	1	0	0
니들은 존나 비웃지만 문천지교 신도들의 사고방식이 딱 저 수준이잖아차이점은 교회에선 신도들을 대상으로 저런 소릴 지껄이지만 문천지는 사람을 가리지 않는다는거	0	0	0	0	0	0	1	0	0	0	0
솔직히 저건 꼬추 잘못도 반이지 여기서 보지만 까는 새끼들 있냐?시발 발정나서 존나게 하다가 기집이 애 생겼다고 하니깐 현자 타임 와서 좆까하는거지	0	0	0	0	0	0	0	0	1	0	0
기독교 교회 다니는 누나들이 잘주지	1	0	0	0	0	0	0	0	0	0	0
고츄가 뇌를 지배한 무슬림들	0	0	0	1	0	0	1	0	0	0	0
히틀러 등신새끼 개슬람이나 짱개를 쳤으면 지금쯤 재평가받고 영웅이 됐을텐데	0	0	0	0	0	0	1	0	0	0	0
남의나라와서 비난하노 이자스민 한국 국적이냐?	0	0	0	1	0	0	0	0	0	0	1
탈북녀라고 하면 여혐임?	0	0	0	0	0	0	0	0	0	1	0
네팔이 아니라 부탄일거노 국민들 개돼지마냥 가둬기르니 지들이 행복한줄 알았다가 외국인들 여행한다고 들락날락하니 지들 상황 깨닫고 행복수치 뚜우우우우우우우욱	0	0	0	1	0	0	0	0	0	0	0
그냥 호칭이 싫으면 외국처럼 다 이름 불러 시아버지 한테 누구누구씨 장인어른도 누구누구씨,회사에서 사장한테도 누구누구씨,군대도 장군이고 뭐고 이름부르고 대통령도 다 이름불러~	0	0	0	0	0	0	0	0	0	1	0
타락한 마음으로 요즘 시대에 성공은 칼날 위에서 춤추는 꼴이다.	0	0	0	0	0	0	0	0	0	1	0
웃-챙 도대체 뭐가 문제인지 모르겠노 ㅋㅋㅋㅋㅋㅋ 완전 좋은데?	0	0	0	0	0	0	0	0	0	1	0
암베맘이냐?	0	0	0	0	0	0	0	0	0	1	0
상폐에 너드한거 좆같은데 수술자국 좀 꼴리노,	0	0	0	0	1	0	0	0	0	0	0
대단하다. 400명 이상을 내마음대로 조종하고 그룹 세우고 유죄받아도 계속 옹호 보호 해주고 이런 믿음받는것도 한편으로는 징그럽게 대단하네. 저것을 믿는 사람들 .... 휴거날이 또 와야 하는데 저것들 한번에 다갖이 가라고..	0	0	0	0	0	0	0	0	1	0	0
저항군?저항군의 대빵은 역시 존코너 인가?	0	0	0	0	0	0	0	0	0	1	0
너츠크래커로 부랄 ^똑딱^ 하면 되는거노? 부랄 까면 뭐 나올지 궁금하다이기야 나는 한번 호기심들면 못 참는 년이라 지금 당장 확인하러 가노 마침 집에 애비와 너츠크래커가 있노	0	1	0	0	0	0	0	0	0	0	0
대보지시대에 저지랄을 ㅋㅋㅋㅋㅋ	1	0	0	0	0	0	0	0	0	0	0
잘생긴놈이랑다니면 자기가 서열 ㅎㅌㅊ 되니까 같이안다니는거 ㅋㅋㅋㅋㅋ 곱상하게생겼다고 기생오래비리고 후려치기오짐ㅋㅋㅋㅋ 사스가 자적자 서열충ㅋㅋㅋㅋ	0	1	0	0	0	0	0	0	0	0	0
위장탈북같은것도 있지않을까?	0	0	0	0	0	0	0	0	0	1	0
힘들면 보육시설에 앝기지 그랬어요. 그게 얼마나 아프고 무서웠겠어요.	0	0	0	0	0	0	0	0	0	1	0
조샌징이 노소가 어데있다고 그러냐다 개되지들뿐인데	0	0	0	1	0	0	0	0	0	0	0
whirl 을 wheel로 잘못 읽은(?) 초기 디아 유저들 덕분인듯...ㅎㅎ 하지만 월윈드는 느낌이 밸론데...ㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
토루코 좆나 더럽고 사기꾼 좆나 많다 술사준다고 하면서 접근하는 인간들 조심하고 음식에서 계산할때는 똑 직접 가격을 미리계산해놔라 돈 가지고 장난 좆나 잘침 토루코랑 강코꾸는 ㄹㅇ 많이 닮은듯... 그래서 형제국가 인가?（笑）	0	0	0	1	0	0	0	0	0	0	0
그러나 내 생활에 부정적인 영향을 끼치는 건 틀딱들임	0	0	0	0	1	0	0	0	0	0	0
문재앙 병신은 자국에서 위험하다고 원자력 없애고 있는데 정작 짱깨가 사고 치면 방사능에 좆되버림 문병신새끼	0	0	0	1	0	0	0	0	0	0	1
싫다는데 뭔 복수 ㅋㅋㅋㅋㅋㅋ	0	0	0	0	0	0	0	0	0	1	0
라도=쌍도. 세상에 도움 안 되는 것들. 세상은 멍청도가 지배한다. ㅋㅋㅋ	0	0	0	0	0	1	0	0	0	0	0
민의원이 보여줬던 빈 투표용지는 개표당일에 참관인이 적발한것이고 증거물품으로 보관하고 있던건데 무슨 도둑 프레임으로 물타기냐~ 선관위는 스스로 자살골 찬거임.!!	0	0	0	0	0	0	0	0	0	1	0
시급도 존나 올라있어서 좋아할거 같은데	0	0	0	0	0	0	0	0	0	1	0
그냥 꼬추 자른다는 조건하에 군대 면제시켜줘라	0	0	0	0	0	0	0	0	1	0	0
전라도로 이주한 경상도 짓임 ^~^*	0	0	0	0	0	1	0	0	0	0	0
그런여자들 보고 딸치러감	1	0	0	0	0	0	0	0	0	0	0
타래로~ 이게 뭔 뜻이냐? 맘충들 신조어냐?	1	0	0	0	0	0	0	0	0	0	0
